mode,Shepherds,Sheep,Objects, Fit Val, max SR, SR
-----------------------mode 0--------------------,,,,,,
-----------------------Scenario 0--------------------,,,,,,
0,5,10,0,66254615064.7487,1,1
0,5,10,0,51704809883.3237,1,1
0,5,10,0,106889048780.651,1,1
0,5,10,0,74459587673.8367,1,1
0,5,10,0,63984074160.2703,1,1
0,5,10,0,91982389376.266,1,1
0,5,10,0,130851184145.853,1,1
0,5,10,0,63551966778.9418,1,1
0,5,10,0,35997340177.9245,1,1
0,5,10,0,93317843582.8699,1,1
0,5,10,0,94785933497.236,1,1
0,5,10,0,130804433458.029,1,1
0,5,10,0,45582302260.0675,1,1
0,5,10,0,163159035600.084,1,1
0,5,10,0,114050026039.554,1,1
0,5,10,0,108156182440.775,1,1
0,5,10,0,70951011602.4008,1,1
0,5,10,0,99585621456.4848,1,1
0,5,10,0,124283159054.328,1,1
0,5,10,0,55396340381.0206,1,1
0,5,10,0,50424637511.5208,1,1
0,5,10,0,63059682256.8798,1,1
0,5,10,0,104204861710.377,1,1
0,5,10,0,70896694396.3592,1,1
0,5,10,0,44256254751.131,1,1
0,5,10,0,83312704686.7806,1,1
0,5,10,0,180643648570.975,1,1
0,5,10,0,40791632450.0548,1,1
0,5,10,0,70944113139.8131,1,1
0,5,10,0,70469071290.0559,1,1
0,5,10,0,38684816087.953,1,1
0,5,10,0,75519166032.3936,1,1
0,5,10,0,101271866024.135,1,1
0,5,10,0,125641589541.752,1,1
0,5,10,0,88207548457.9721,1,1
0,5,10,0,68985157294.8782,1,1
0,5,10,0,92455665480.0307,1,1
0,5,10,0,124250796485.864,1,1
0,5,10,0,56132871002.8003,1,1
0,5,10,0,39311856059.8939,1,1
0,5,10,0,48547336564.865,1,1
0,5,10,0,121495855072.992,1,1
0,5,10,0,52780671353.8169,1,1
0,5,10,0,42661444297.156,1,1
0,5,10,0,43877453919.6266,1,1
0,5,10,0,33629831087.9078,1,1
0,5,10,0,51614828391.8239,1,1
0,5,10,0,109753537014.038,1,1
0,5,10,0,99514899579.1299,1,1
0,5,10,0,82437697462.287,1,1
0,5,20,0,87034547504.7149,1,1
0,5,20,0,96303479104.9855,1,1
0,5,20,0,63364170810.8107,1,1
0,5,20,0,67449930667.7498,1,1
0,5,20,0,48239880389.976,1,1
0,5,20,0,81035576782.8001,1,1
0,5,20,0,74463762668.7384,1,1
0,5,20,0,67779531364.0687,1,1
0,5,20,0,91259534363.9741,1,1
0,5,20,0,74161399137.949,1,1
0,5,20,0,130478979894.649,1,1
0,5,20,0,115360259815.428,1,1
0,5,20,0,115309136706.254,1,1
0,5,20,0,91696961934.7677,1,1
0,5,20,0,128726138884.827,1,1
0,5,20,0,65787974023.847,1,1
0,5,20,0,66203127395.3333,1,1
0,5,20,0,90613615625.816,1,1
0,5,20,0,125551014656.291,1,1
0,5,20,0,105889665308.705,1,1
0,5,20,0,68342567958.8924,1,1
0,5,20,0,61888727446.7816,1,1
0,5,20,0,37782128326.0206,1,1
0,5,20,0,73818634851.1576,1,1
0,5,20,0,59654052443.4194,1,1
0,5,20,0,67767624813.3815,1,1
0,5,20,0,78934635100.6502,1,1
0,5,20,0,49820049452.9423,1,1
0,5,20,0,51741072585.0752,1,1
0,5,20,0,108473366859.621,1,1
0,5,20,0,65000149288.4797,1,1
0,5,20,0,105933776729.215,1,1
0,5,20,0,70483120365.1809,1,1
0,5,20,0,111780345050.378,1,1
0,5,20,0,59507963049.2601,1,1
0,5,20,0,86990740626.7222,1,1
0,5,20,0,73109942719.8903,1,1
0,5,20,0,74502391089.5441,1,1
0,5,20,0,64325882304.6466,1,1
0,5,20,0,93315942444.6508,1,1
0,5,20,0,40649878305.1918,1,1
0,5,20,0,124373989202.345,1,1
0,5,20,0,46004372282.7049,1,1
0,5,20,0,168649244121.478,1,1
0,5,20,0,111402805437.925,1,1
0,5,20,0,68255537844.4394,1,1
0,5,20,0,67480967487.5957,1,1
0,5,20,0,44440658354.3254,1,1
0,5,20,0,51975869111.6196,1,1
0,5,20,0,93981224758.2384,1,1
0,5,30,0,115399491291.003,1,1
0,5,30,0,94645549958.8993,1,1
0,5,30,0,133261046949.949,1,1
0,5,30,0,82571016148.0727,1,1
0,5,30,0,135839096614.145,1,1
0,5,30,0,106436439371.696,1,1
0,5,30,0,187675833189.483,1,1
0,5,30,0,119777715248.168,1,1
0,5,30,0,99363295296.4306,1,1
0,5,30,0,82690135837.7365,1,1
0,5,30,0,89446406892.2067,1,1
0,5,30,0,185426000735.272,1,1
0,5,30,0,136665600004.398,1,1
0,5,30,0,98267432137.3675,1,1
0,5,30,0,128770309013.608,1,1
0,5,30,0,142536057310.33,1,1
0,5,30,0,205554872888.037,1,1
0,5,30,0,135140615092.314,1,1
0,5,30,0,147178863910.228,1,1
0,5,30,0,146355293636.389,1,1
0,5,30,0,84879916449.4318,1,1
0,5,30,0,92792008780.0295,1,1
0,5,30,0,156047249480.331,1,1
0,5,30,0,221718647426.224,1,1
0,5,30,0,57731062949.5994,1,1
0,5,30,0,235984877036.236,1,1
0,5,30,0,95693163892.0175,1,1
0,5,30,0,126333390059.392,1,1
0,5,30,0,117249486281.387,1,1
0,5,30,0,147916479536.682,1,1
0,5,30,0,63146045001.5803,1,1
0,5,30,0,160225123591.275,1,1
0,5,30,0,198307208438.929,1,1
0,5,30,0,160840006491.999,1,1
0,5,30,0,111675539569.746,1,0.933333
0,5,30,0,114064813568.265,1,1
0,5,30,0,151693629031.364,1,1
0,5,30,0,119797373837.004,1,0.966667
0,5,30,0,122592040601.821,1,1
0,5,30,0,133014593478.539,1,1
0,5,30,0,206531781058.995,1,1
0,5,30,0,111575872000.55,1,1
0,5,30,0,127588103835.735,1,1
0,5,30,0,152096384285.213,1,1
0,5,30,0,162976413177.147,1,1
0,5,30,0,106633173883.778,1,1
0,5,30,0,130798686429.728,1,1
0,5,30,0,124150968381.877,1,1
0,5,30,0,120629618797.004,1,1
0,5,30,0,105285193176.315,1,1
0,5,40,0,156439828146.902,1,1
0,5,40,0,184295172013.52,1,1
0,5,40,0,138964835902.648,1,1
0,5,40,0,181936601178.749,1,1
